"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"A","4962","1999-11-18","2019-08-09","42","2009-05-14","2019-08-14"
"AA","697","2016-11-01","2019-08-09","11","2017-01-24","2019-07-17"
"AAAP","574","2015-11-11","2018-07-18","0","NULL","NULL"
"AABA","5434","1998-01-02","2019-08-07","14","2014-01-28","2017-04-18"
"AAC","1222","2014-10-02","2019-08-09","21","2014-11-05","2019-04-16"
"AAL","3489","2005-09-27","2019-08-07","23","2014-01-28","2019-07-25"
"AAMC","1675","2012-12-13","2019-08-09","23","2013-05-09","2018-11-07"
"AAME","5434","1998-01-02","2019-08-07","39","2009-05-14","2018-11-13"
"AAN","5436","1998-01-02","2019-08-09","41","2009-08-05","2019-07-25"
"AAOI","1476","2013-09-26","2019-08-07","24","2013-11-07","2019-08-07"
"AAON","5434","1998-01-02","2019-08-07","41","2009-05-06","2019-05-02"
"AAP","4454","2001-11-29","2019-08-09","42","2009-05-20","2019-08-13"
"AAPL","5434","1998-01-02","2019-08-07","41","2009-07-21","2019-07-30"
"AAT","2157","2011-01-13","2019-08-09","34","2011-05-10","2019-07-30"
"AAU","3432","2005-12-20","2019-08-09","30","2011-08-11","2018-11-07"
"AAV","3601","2004-03-31","2018-07-19","0","NULL","NULL"
"AAWW","3458","2005-11-09","2019-08-07","42","2009-05-05","2019-08-01"
"AAXJ","2763","2008-08-15","2019-08-07","0","NULL","NULL"
"AAXN","4571","2001-06-07","2019-08-08","23","2014-02-26","2019-08-08"
"AB","5436","1998-01-02","2019-08-09","41","2009-07-30","2019-07-25"
"ABAC","2205","2010-07-20","2019-04-23","0","NULL","NULL"
"ABAX","5180","1998-01-02","2018-08-03","0","NULL","NULL"
"ABB","4614","2001-04-06","2019-08-09","35","2009-10-30","2019-07-25"
"ABBV","1663","2013-01-02","2019-08-09","26","2013-04-26","2019-07-26"
"ABC","5436","1998-01-02","2019-08-09","41","2009-07-30","2019-08-01"
"ABCB","5434","1998-01-02","2019-08-07","41","2009-07-21","2019-07-26"
"ABCD","2272","2009-12-09","2018-12-18","0","NULL","NULL"
"ABDC","1321","2014-05-09","2019-08-07","20","2014-11-10","2019-08-07"
"ABE","4358","2001-01-02","2018-06-06","0","NULL","NULL"
"ABEO","5434","1998-01-02","2019-08-07","19","2015-05-14","2019-08-09"
"ABEOW","872","2015-06-22","2019-08-06","0","NULL","NULL"
"ABEV","5436","1998-01-02","2019-08-09","23","2014-02-26","2019-07-25"
"ABG","4378","2002-03-21","2019-08-09","41","2009-07-30","2019-07-26"
"ABIL","910","2015-12-24","2019-08-07","10","2016-05-02","2018-12-26"
"ABIO","5434","1998-01-02","2019-08-07","32","2009-11-16","2019-08-01"
"ABLX","170","2017-10-20","2018-07-18","0","NULL","NULL"
"ABM","5436","1998-01-02","2019-08-09","41","2009-06-04","2019-06-05"
"ABMD","5434","1998-01-02","2019-08-07","42","2009-05-12","2019-08-01"
"ABR","3862","2004-04-07","2019-08-09","42","2009-05-08","2019-08-02"
"ABRN","995","2014-05-15","2018-04-26","0","NULL","NULL"
"ABT","5436","1998-01-02","2019-08-09","41","2009-07-15","2019-07-17"
"ABTX","964","2015-10-08","2019-08-07","16","2015-10-30","2019-07-26"
"ABUS","1011","2015-08-03","2019-08-07","23","2014-03-06","2019-08-05"
"ABX","5372","1998-01-02","2019-05-09","0","NULL","NULL"
"AC","929","2015-12-01","2019-08-09","13","2015-12-15","2018-11-06"
"ACA","196","2018-10-30","2019-08-12","3","2019-02-27","2019-08-01"
"ACAD","3825","2004-05-27","2019-08-07","42","2009-05-11","2019-07-31"
"ACAMU","78","2019-02-22","2019-08-06","0","NULL","NULL"
"ACAMW","16","2019-04-15","2019-08-12","0","NULL","NULL"
"ACB","1281","2014-07-11","2019-08-12","1","2019-05-14","2019-05-14"
"ACBI","947","2015-11-02","2019-08-07","16","2015-11-13","2019-07-25"
"ACC","3775","2004-08-12","2019-08-09","41","2009-07-28","2019-07-22"
"ACCO","3519","2005-08-17","2019-08-09","31","2012-05-10","2019-07-31"
"ACER","471","2017-09-22","2019-08-07","21","2014-05-14","2019-08-13"
"ACERW","750","2015-04-14","2018-04-05","0","NULL","NULL"
"ACET","5425","1998-01-02","2019-07-25","39","2009-05-08","2018-11-08"
"ACFC","3440","2004-10-05","2018-11-14","0","NULL","NULL"
"ACGL","5434","1998-01-02","2019-08-07","41","2009-07-23","2019-07-29"
"ACGLO","498","2017-08-15","2019-08-07","0","NULL","NULL"
"ACGLP","722","2016-09-23","2019-08-07","0","NULL","NULL"
"ACH","4446","2001-12-11","2019-08-09","24","2009-08-25","2018-10-25"
"ACHC","5434","1998-01-02","2019-08-07","31","2012-03-07","2019-07-30"
"ACHN","3206","2006-11-09","2019-08-07","42","2009-05-15","2019-08-08"
"ACHV","5434","1998-01-02","2019-08-07","23","2014-03-11","2019-08-08"
"ACIA","814","2016-05-13","2019-08-07","13","2016-08-11","2019-08-06"
"ACIU","722","2016-09-23","2019-08-07","10","2017-05-11","2019-08-14"
"ACIW","5434","1998-01-02","2019-08-07","42","2009-05-06","2019-08-08"
"ACLS","4799","2000-07-11","2019-08-07","42","2009-05-11","2019-08-06"
"ACM","3085","2007-05-10","2019-08-09","42","2009-05-07","2019-08-06"
"ACMR","452","2011-11-18","2019-08-07","8","2017-12-07","2019-08-07"
"ACN","4543","2001-07-19","2019-08-09","41","2009-06-25","2019-06-27"
"ACNB","5435","1998-01-02","2019-08-08","30","2011-10-31","2019-01-30"
"ACOR","3395","2006-02-10","2019-08-07","42","2009-05-06","2019-08-01"
"ACP","2148","2011-01-27","2019-08-09","0","NULL","NULL"
"ACRE","1833","2012-04-27","2019-08-09","29","2012-08-14","2019-07-26"
"ACRS","965","2015-10-07","2019-08-07","16","2015-11-18","2019-08-08"
"ACRX","2135","2011-02-11","2019-08-07","33","2011-08-11","2019-08-05"
"ACSF","1182","2014-01-16","2019-07-12","0","NULL","NULL"
"ACST","2077","2011-05-06","2019-08-07","19","2014-05-21","2019-08-14"
"ACT","414","2017-12-13","2019-08-07","6","2014-02-20","2015-05-11"
"ACTA","4716","1999-08-05","2019-07-12","0","NULL","NULL"
"ACTG","4190","2002-12-16","2019-08-08","38","2009-07-23","2018-10-25"
"ACTT","61","2019-05-14","2019-08-08","0","NULL","NULL"
"ACTTU","74","2019-04-26","2019-08-09","0","NULL","NULL"
"ACTTW","41","2019-05-14","2019-08-08","0","NULL","NULL"
"ACU","5436","1998-01-02","2019-08-09","41","2009-07-17","2019-07-19"
"ACV","1062","2015-05-22","2019-08-09","0","NULL","NULL"
"ACWI","2861","2008-03-28","2019-08-07","0","NULL","NULL"
"ACWX","2860","2008-03-31","2019-08-07","0","NULL","NULL"
"ACXM","5222","1998-01-02","2019-02-08","0","NULL","NULL"
"ACY","5424","1998-01-20","2019-08-09","42","2009-05-07","2019-08-07"
"ADAP","1072","2015-05-06","2019-08-07","17","2015-11-13","2019-08-01"
"ADBE","5434","1998-01-02","2019-08-07","41","2009-06-16","2019-06-18"
"ADC","5436","1998-01-02","2019-08-09","41","2009-07-30","2019-07-22"
"ADES","3912","2004-01-23","2019-08-07","33","2009-05-14","2019-08-05"
"ADI","5434","1998-01-02","2019-08-07","42","2009-05-19","2019-08-21"
"ADIL","262","2018-07-27","2019-08-12","4","2019-02-13","2019-08-13"
"ADILW","169","2018-07-27","2019-08-12","0","NULL","NULL"
"ADM","5436","1998-01-02","2019-08-09","42","2009-05-05","2019-08-01"
"ADMA","1461","2013-10-17","2019-08-07","22","2014-08-11","2019-08-08"
"ADMP","5434","1998-01-02","2019-08-07","24","2012-02-14","2019-08-08"
"ADMS","1341","2014-04-10","2019-08-07","22","2014-05-13","2019-08-08"
"ADNT","698","2016-10-31","2019-08-09","11","2017-02-03","2019-08-06"
"ADOM","540","2017-06-15","2019-08-07","6","2017-11-13","2019-07-24"
"ADP","5434","1998-01-02","2019-08-07","42","2009-05-05","2019-07-31"
"ADRA","4210","2002-11-13","2019-08-06","0","NULL","NULL"
"ADRD","4211","2002-11-13","2019-08-07","0","NULL","NULL"
"ADRE","4211","2002-11-13","2019-08-07","0","NULL","NULL"
"ADRO","1087","2015-04-15","2019-08-07","18","2015-05-28","2019-08-01"
"ADRU","4211","2002-11-13","2019-08-07","0","NULL","NULL"
"ADS","4566","2001-06-15","2019-08-09","41","2009-07-22","2019-07-18"
"ADSK","5434","1998-01-02","2019-08-07","41","2009-05-21","2019-05-23"
"ADSW","715","2016-10-06","2019-08-09","12","2016-11-02","2019-07-30"
"ADT","1726","2012-09-28","2019-08-09","16","2014-01-30","2019-08-06"
"ADTN","5434","1998-01-02","2019-08-07","42","2009-07-14","2019-07-17"
"ADUS","2460","2009-10-28","2019-08-07","40","2009-11-12","2019-08-05"
"ADVM","905","2016-01-04","2019-08-07","21","2014-09-11","2019-08-08"
"ADX","5436","1998-01-02","2019-08-09","0","NULL","NULL"
"ADXS","3531","2005-07-28","2019-08-07","26","2013-02-13","2019-06-10"
"ADXSW","1227","2013-10-17","2018-10-18","0","NULL","NULL"
"AE","5436","1998-01-02","2019-08-09","39","2009-05-13","2018-11-07"
"AEB","3450","2005-11-23","2019-08-09","0","NULL","NULL"
"AED","3412","2005-11-23","2019-06-28","0","NULL","NULL"
"AEE","5436","1998-01-02","2019-08-09","41","2009-08-06","2019-08-02"
"AEF","4674","2001-01-02","2019-08-12","0","NULL","NULL"
"AEG","5436","1998-01-02","2019-08-09","34","2009-05-14","2018-02-15"
"AEGN","5434","1998-01-02","2019-08-07","33","2011-10-25","2019-07-31"
"AEH","3563","2005-06-15","2019-08-09","0","NULL","NULL"
"AEHR","5434","1998-01-02","2019-08-07","40","2009-07-28","2019-04-04"
"AEIS","5434","1998-01-02","2019-08-07","41","2009-07-23","2019-08-05"
"AEK","1577","2012-02-07","2018-05-14","0","NULL","NULL"
"AEL","3947","2003-12-04","2019-08-09","42","2009-05-06","2019-08-05"
"AEM","5436","1998-01-02","2019-08-09","41","2009-07-29","2019-07-24"
"AEMD","4678","2001-01-02","2019-08-07","20","2014-02-11","2019-07-01"
"AEO","5436","1998-01-02","2019-08-09","41","2009-05-27","2019-06-05"
"AEP","5436","1998-01-02","2019-08-09","41","2009-07-31","2019-07-25"
"AER","3200","2006-11-21","2019-08-09","42","2009-05-07","2019-07-30"
"AERI","1455","2013-10-25","2019-08-07","24","2013-12-04","2019-08-07"
"AES","5436","1998-01-02","2019-08-09","42","2009-05-08","2019-08-06"
"AET","4712","2000-01-03","2018-09-24","0","NULL","NULL"
"AETI","3170","2006-12-28","2019-08-02","39","2009-05-01","2018-11-14"
"AEUA","754","2015-06-11","2018-06-07","0","NULL","NULL"
"AEY","5434","1998-01-02","2019-08-07","39","2009-05-12","2018-12-28"
"AEYE","1567","2013-04-26","2019-08-12","11","2015-07-17","2019-08-14"
"AEZS","4841","2000-05-10","2019-08-07","41","2009-05-06","2019-08-13"
"AFAM","4591","2000-01-03","2018-06-07","0","NULL","NULL"
"AFB","4414","2002-01-29","2019-08-09","0","NULL","NULL"
"AFC","3102","2007-04-17","2019-08-09","0","NULL","NULL"
"AFG","5436","1998-01-02","2019-08-09","42","2009-05-04","2019-08-06"
"AFGB","90","2019-03-19","2019-08-06","0","NULL","NULL"
"AFGE","1228","2014-09-24","2019-08-09","0","NULL","NULL"
"AFGH","937","2015-11-18","2019-08-09","0","NULL","NULL"
"AFH","1633","2013-02-12","2019-08-07","25","2013-03-18","2019-03-04"
"AFHBL","516","2017-05-16","2019-08-07","0","NULL","NULL"
"AFI","856","2016-03-17","2019-08-09","14","2016-08-12","2019-08-06"
"AFIN","268","2018-07-19","2019-08-12","0","NULL","NULL"
"AFINP","99","2019-03-22","2019-08-12","0","NULL","NULL"
"AFL","5436","1998-01-02","2019-08-09","41","2009-07-29","2019-07-25"
"AFMD","1234","2014-09-12","2019-08-07","20","2014-11-18","2019-08-07"
"AFSI","3042","2006-11-13","2019-05-20","0","NULL","NULL"
"AFSS","996","2015-06-22","2019-06-05","0","NULL","NULL"
"AFST","935","2015-09-17","2019-06-05","0","NULL","NULL"
"AFT","2128","2011-02-25","2019-08-09","0","NULL","NULL"
"AG","3196","2006-11-28","2019-08-09","35","2011-05-16","2019-08-07"
"AGBAU","33","2019-05-14","2019-08-07","0","NULL","NULL"
"AGC","2820","2007-05-25","2018-08-06","0","NULL","NULL"
"AGCO","5436","1998-01-02","2019-08-09","41","2009-07-28","2019-07-30"
"AGD","3282","2006-07-27","2019-08-09","0","NULL","NULL"
"AGE","175","2018-11-29","2019-08-12","0","NULL","NULL"
"AGEN","4905","2000-02-08","2019-08-07","42","2009-05-07","2019-08-08"
"AGFS","1011","2015-08-03","2019-08-07","17","2015-08-14","2019-08-08"
"AGFSW","981","2015-08-03","2019-08-07","0","NULL","NULL"
"AGI","2640","2009-02-13","2019-08-09","26","2013-04-25","2019-07-31"
"AGII","5126","1998-01-02","2019-05-17","0","NULL","NULL"
"AGIIL","1420","2012-09-25","2019-05-20","0","NULL","NULL"
"AGIO","1521","2013-07-24","2019-08-07","24","2013-11-07","2019-08-01"
"AGLE","840","2016-04-07","2019-08-07","14","2016-05-19","2019-08-06"
"AGM","5436","1998-01-02","2019-08-09","42","2009-05-12","2019-08-01"
"AGMH","332","2018-04-18","2019-08-12","0","NULL","NULL"
"AGN","5436","1998-01-02","2019-08-09","41","2009-07-29","2019-08-06"
"AGNC","2827","2008-05-15","2019-08-07","41","2009-07-29","2019-07-24"
"AGNCB","1321","2014-05-09","2019-08-07","0","NULL","NULL"
"AGNCM","111","2019-02-28","2019-08-06","0","NULL","NULL"
"AGNCN","497","2017-08-16","2019-08-07","0","NULL","NULL"
"AGND","1418","2013-12-18","2019-08-07","0","NULL","NULL"
"AGO","3851","2004-04-23","2019-08-09","42","2009-05-07","2019-08-07"
"AGR","917","2015-12-17","2019-08-09","14","2016-04-25","2019-07-23"
"AGRO","2147","2011-01-28","2019-08-09","31","2011-08-16","2019-08-15"
"AGRX","1311","2014-05-23","2019-08-07","21","2014-08-14","2019-08-01"
"AGS","388","2018-01-26","2019-08-12","3","2019-03-05","2019-08-07"
"AGTC","1351","2014-03-27","2019-08-07","20","2014-09-26","2019-05-07"
"AGX","5436","1998-01-02","2019-08-09","41","2009-06-08","2019-06-10"
"AGYS","5434","1998-01-02","2019-08-07","42","2009-06-05","2019-07-25"
"AGZD","1418","2013-12-18","2019-08-07","0","NULL","NULL"
"AHC","2895","2008-02-11","2019-08-09","39","2009-05-04","2018-10-30"
"AHGP","3039","2006-05-10","2018-07-11","0","NULL","NULL"
"AHH","1576","2013-05-08","2019-08-09","25","2013-08-13","2019-08-01"
"AHL","3826","2003-12-05","2019-06-14","39","2009-07-29","2019-02-06"
"AHP","1122","2013-11-06","2018-04-23","0","NULL","NULL"
"AHPA","552","2017-01-05","2019-03-28","0","NULL","NULL"
"AHPAU","293","2016-10-11","2019-01-18","0","NULL","NULL"
"AHPAW","296","2017-01-05","2018-08-06","0","NULL","NULL"
"AHPI","5435","1998-01-02","2019-08-08","38","2009-05-12","2018-11-14"
"AHT","4017","2003-08-26","2019-08-09","42","2009-05-05","2019-08-01"
"AI","5436","1998-01-02","2019-08-09","40","2009-08-10","2019-08-06"
"AIA","2948","2007-11-20","2019-08-07","0","NULL","NULL"
"AIC","1105","2015-03-20","2019-08-09","0","NULL","NULL"
"AIF","1626","2013-02-26","2019-08-09","0","NULL","NULL"
"AIG","5436","1998-01-02","2019-08-09","42","2009-05-07","2019-08-07"
"AIHS","354","2018-03-16","2019-08-12","0","NULL","NULL"
"AIMC","3181","2006-12-15","2019-08-07","42","2009-05-04","2019-07-25"
"AIMT","1008","2015-08-06","2019-08-07","17","2015-08-31","2019-08-08"
"AIN","5436","1998-01-02","2019-08-09","42","2009-05-04","2019-07-30"
"AINC","1192","2014-11-13","2019-08-09","19","2015-02-26","2019-08-01"
"AINV","3841","2004-05-05","2019-08-07","41","2009-06-01","2019-08-06"
"AIPT","369","2018-01-29","2019-07-17","11","2015-05-19","2017-11-14"
"AIQ","4362","2001-07-27","2019-08-12","15","2014-03-12","2017-08-03"
"AIR","5436","1998-01-02","2019-08-09","41","2009-07-14","2019-07-10"
"AIRG","751","2016-08-12","2019-08-07","13","2016-09-20","2019-08-08"
"AIRI","4740","2000-10-05","2019-08-09","22","2013-11-11","2019-08-08"
"AIRR","1363","2014-03-11","2019-08-07","0","NULL","NULL"
"AIRT","5434","1998-01-02","2019-08-07","36","2009-06-02","2018-11-13"
"AIRTP","42","2019-06-11","2019-08-08","0","NULL","NULL"
"AIRTW","32","2019-06-12","2019-08-08","0","NULL","NULL"
"AIT","5436","1998-01-02","2019-08-09","41","2009-08-07","2019-08-14"
"AITB","449","2017-09-22","2019-08-07","2","2019-02-13","2019-06-25"
"AIV","5436","1998-01-02","2019-08-09","41","2009-07-31","2019-08-01"
"AIW","1573","2013-05-06","2019-08-09","0","NULL","NULL"
"AIY","1542","2013-06-26","2019-08-09","0","NULL","NULL"
"AIZ","3905","2004-02-05","2019-08-09","41","2009-07-29","2019-08-06"
"AIZP","360","2018-03-08","2019-08-12","0","NULL","NULL"
"AJG","5436","1998-01-02","2019-08-09","41","2009-07-28","2019-07-25"
"AJRD","5436","1998-01-02","2019-08-09","16","2015-07-10","2019-07-31"
"AJX","1130","2015-02-13","2019-08-09","19","2015-03-17","2019-08-06"
"AJXA","575","2017-04-28","2019-08-09","0","NULL","NULL"
"AKAM","4974","1999-10-29","2019-08-07","41","2009-07-29","2019-07-30"
"AKAO","1298","2014-03-12","2019-05-07","21","2014-05-12","2019-03-28"
"AKBA","1356","2014-03-20","2019-08-07","22","2014-05-12","2019-08-08"
"AKCA","520","2017-07-14","2019-08-07","9","2017-08-08","2019-08-06"
"AKER","1395","2014-01-23","2019-08-07","19","2014-05-14","2018-11-15"
"AKG","2922","2008-01-02","2019-08-09","26","2013-04-01","2019-08-01"
"AKP","4368","2002-01-29","2019-06-28","0","NULL","NULL"
"AKR","5436","1998-01-02","2019-08-09","41","2009-07-29","2019-07-22"
"AKRX","4283","2002-08-02","2019-08-07","31","2009-05-12","2019-08-01"
"AKS","5436","1998-01-02","2019-08-09","41","2009-07-21","2019-07-29"
"AKTS","933","2015-11-20","2019-08-07","8","2016-02-16","2019-05-10"
"AKTX","977","2015-09-21","2019-08-07","11","2015-11-23","2019-04-23"
"AL","2091","2011-04-19","2019-08-09","34","2011-05-16","2019-08-08"
"ALAC","173","2018-11-21","2019-08-09","0","NULL","NULL"
"ALACR","78","2018-11-21","2019-07-31","0","NULL","NULL"
"ALACU","190","2018-10-24","2019-08-12","0","NULL","NULL"
"ALACW","122","2018-11-21","2019-08-09","0","NULL","NULL"
"ALB","5436","1998-01-02","2019-08-09","41","2009-07-22","2019-08-07"
"ALBO","3082","2007-05-11","2019-08-07","21","2014-02-06","2019-08-08"
"ALC","87","2019-04-09","2019-08-12","1","2019-08-20","2019-08-20"
"ALCO","5434","1998-01-02","2019-08-07","39","2009-05-11","2018-12-06"
"ALDR","1322","2014-05-08","2019-08-07","21","2014-08-05","2019-08-06"
"ALDW","1315","2012-11-20","2018-02-12","0","NULL","NULL"
"ALDX","1326","2014-05-02","2019-08-07","21","2014-08-04","2019-08-08"
"ALE","5436","1998-01-02","2019-08-09","41","2009-08-05","2019-08-01"
"ALEC","129","2019-02-07","2019-08-12","2","2019-05-13","2019-08-12"
"ALEX","1800","2012-06-14","2019-08-09","29","2012-08-01","2019-08-01"
"ALG","5436","1998-01-02","2019-08-09","40","2009-11-04","2019-07-31"
"ALGN","4659","2001-01-30","2019-08-07","41","2009-07-23","2019-07-24"
"ALGR","248","2018-08-13","2019-08-12","0","NULL","NULL"
"ALGRR","114","2018-08-13","2019-08-01","0","NULL","NULL"
"ALGRU","272","2018-07-03","2019-08-12","0","NULL","NULL"
"ALGRW","166","2018-08-13","2019-08-12","0","NULL","NULL"
"ALGT","3187","2006-12-08","2019-08-08","41","2009-07-21","2019-07-24"
"ALIM","2340","2010-04-22","2019-08-07","38","2010-06-03","2019-07-29"
"ALJJ","5434","1998-01-02","2019-08-07","35","2009-05-15","2018-12-17"
"ALK","4674","2001-01-02","2019-08-09","41","2009-07-23","2019-07-25"
"ALKS","5434","1998-01-02","2019-08-07","42","2009-05-21","2019-07-25"
"ALL","5436","1998-01-02","2019-08-09","42","2009-05-07","2019-07-30"
"ALLE","1441","2013-11-18","2019-08-09","23","2014-02-19","2019-07-25"
"ALLK","268","2018-07-19","2019-08-12","4","2019-02-14","2019-08-05"
"ALLO","209","2018-10-11","2019-08-12","3","2019-03-08","2019-08-07"
"ALLT","3201","2006-11-16","2019-08-07","42","2009-05-12","2019-08-06"
"ALLY","1394","2014-01-28","2019-08-09","22","2014-05-01","2019-07-18"
"ALN","2228","2009-09-14","2018-07-19","0","NULL","NULL"
"ALNA","442","2017-11-02","2019-08-07","8","2017-12-14","2019-08-07"
"ALNY","3823","2004-06-01","2019-08-07","42","2009-05-07","2019-08-06"
"ALO","3198","2006-11-24","2019-08-09","9","2017-08-10","2019-08-08"
"ALOG","4650","2000-01-03","2018-08-01","0","NULL","NULL"
"ALOT","5434","1998-01-02","2019-08-07","41","2009-05-19","2019-06-05"
"ALPN","1043","2015-06-17","2019-08-07","17","2015-08-03","2019-08-13"
"ALQA","5083","1999-05-14","2019-07-26","19","2014-03-24","2018-10-26"
"ALRM","1036","2015-06-26","2019-08-07","17","2015-08-06","2019-08-08"
"ALRN","5434","1998-01-02","2019-08-07","9","2017-08-10","2019-08-06"
"ALSK","4960","1999-11-18","2019-08-07","40","2009-07-30","2019-05-06"
"ALSN","1863","2012-03-15","2019-08-09","31","2012-04-23","2019-07-31"
"ALT","3482","2005-10-06","2019-08-07","23","2014-03-11","2019-08-14"
"ALTM","573","2017-05-02","2019-08-12","3","2019-02-27","2019-07-31"
"ALTR","5434","1998-01-02","2019-08-07","16","2014-01-23","2019-08-08"
"ALTY","1025","2015-07-14","2019-08-07","0","NULL","NULL"
"ALV","5436","1998-01-02","2019-08-09","40","2009-07-21","2019-07-19"
"ALX","5436","1998-01-02","2019-08-09","39","2009-05-04","2018-10-29"
"ALXN","5434","1998-01-02","2019-08-07","41","2009-07-23","2019-07-24"
"ALYA","193","2018-11-02","2019-08-12","1","2019-08-14","2019-08-14"
"AM","1197","2014-11-05","2019-08-09","18","2015-04-29","2019-07-31"
"AMAG","5434","1998-01-02","2019-08-07","41","2009-07-29","2019-08-07"
"AMAL","255","2018-08-07","2019-08-12","3","2019-01-29","2019-07-29"
"AMAT","5434","1998-01-02","2019-08-07","42","2009-05-12","2019-08-15"
"AMBA","1716","2012-10-10","2019-08-07","27","2012-12-05","2019-06-04"
"AMBC","1579","2013-05-01","2019-08-07","25","2013-08-14","2019-08-08"
"AMBCW","1479","2013-08-22","2019-08-06","0","NULL","NULL"
"AMBO","301","2018-06-01","2019-08-12","0","NULL","NULL"
"AMBR","1346","2014-03-21","2019-07-26","21","2014-05-13","2019-05-09"
"AMC","1420","2013-12-18","2019-08-09","23","2014-02-25","2019-08-08"
"AMCA","497","2017-08-11","2019-08-07","0","NULL","NULL"
"AMCI","137","2019-01-23","2019-08-12","0","NULL","NULL"
"AMCIU","179","2018-11-16","2019-08-09","0","NULL","NULL"
"AMCIW","54","2019-01-24","2019-08-12","0","NULL","NULL"
"AMCN","2948","2007-11-07","2019-07-25","27","2009-05-18","2015-11-17"
"AMCR","100","2019-03-19","2019-08-08","1","2019-08-20","2019-08-20"
"AMCX","2049","2011-06-16","2019-08-07","33","2011-08-11","2019-07-31"
"AMD","5434","1998-01-02","2019-08-07","41","2009-07-21","2019-07-30"
"AMDA","4338","2002-01-02","2019-03-28","0","NULL","NULL"
"AME","5436","1998-01-02","2019-08-09","41","2009-07-28","2019-07-30"
"AMED","5434","1998-01-02","2019-08-07","41","2009-07-28","2019-07-31"
"AMEH","2922","2000-01-13","2019-08-07","4","2018-08-14","2019-08-09"
"AMG","5436","1998-01-02","2019-08-09","41","2009-07-29","2019-07-29"
"AMGN","5434","1998-01-02","2019-08-07","41","2009-07-27","2019-07-30"
"AMGP","467","2017-05-04","2019-06-14","7","2017-08-02","2019-02-13"
"AMH","1517","2013-08-01","2019-08-09","25","2013-08-20","2019-07-29"
"AMID","2009","2011-07-27","2019-07-22","29","2011-11-14","2018-11-08"
"AMKR","5352","1998-05-01","2019-08-07","41","2009-07-29","2019-07-29"
"AMMA","622","2016-10-06","2019-03-28","0","NULL","NULL"
"AMN","4465","2001-11-13","2019-08-09","23","2014-02-20","2019-08-06"
"AMNB","5114","1999-04-13","2019-08-07","41","2009-07-22","2019-07-18"
"AMOT","5434","1998-01-02","2019-08-07","42","2009-05-13","2019-08-01"
"AMOV","4653","2001-02-07","2019-08-07","0","NULL","NULL"
"AMP","3499","2005-09-15","2019-08-09","41","2009-07-23","2019-07-24"
"AMPE","2357","2010-03-31","2019-08-09","26","2012-05-04","2018-08-14"
"AMPH","1289","2014-06-25","2019-08-07","21","2014-08-12","2019-08-07"
"AMR","377","2018-02-12","2019-08-12","2","2017-11-13","2019-02-26"
"AMRB","5182","1999-01-04","2019-08-07","41","2009-07-27","2019-07-18"
"AMRC","2279","2010-07-22","2019-08-09","37","2010-08-12","2019-08-08"
"AMRH","2118","2011-02-22","2019-08-07","14","2015-08-14","2019-08-14"
"AMRHW","258","2017-11-17","2019-07-30","0","NULL","NULL"
"AMRK","1359","2014-03-17","2019-08-07","22","2014-03-27","2019-05-09"
"AMRN","5434","1998-01-02","2019-08-07","34","2011-05-10","2019-07-31"
"AMRS","2230","2010-09-28","2019-08-07","34","2010-11-04","2019-03-18"
"AMRWW","565","2017-04-28","2019-08-12","0","NULL","NULL"
"AMRX","2660","2009-01-15","2019-08-12","4","2019-02-28","2019-08-08"
"AMS","5436","1998-01-02","2019-08-09","39","2009-05-13","2018-11-08"
"AMSC","5434","1998-01-02","2019-08-07","40","2009-05-14","2019-08-06"
"AMSF","3451","2005-11-18","2019-08-07","41","2009-08-05","2019-07-31"
"AMSWA","5434","1998-01-02","2019-08-07","41","2009-06-25","2019-06-19"
"AMT","5398","1998-02-27","2019-08-09","40","2009-07-29","2019-07-31"
"AMTB","239","2018-08-29","2019-08-12","3","2019-01-29","2019-07-26"
"AMTBB","237","2018-08-29","2019-08-09","0","NULL","NULL"
"AMTD","5434","1998-01-02","2019-08-07","41","2009-07-21","2019-07-22"
"AMTX","3295","2006-06-27","2019-08-07","19","2014-03-18","2019-05-09"
"AMWD","5434","1998-01-02","2019-08-07","41","2009-06-05","2019-05-28"
"AMX","4654","2001-02-08","2019-08-09","38","2009-04-28","2019-07-16"
"AMZN","5434","1998-01-02","2019-08-07","41","2009-07-23","2019-07-25"
"AN","5436","1998-01-02","2019-08-09","42","2009-07-31","2019-07-23"
"ANAB","637","2017-01-26","2019-08-07","10","2017-05-11","2019-08-08"
"ANAT","5434","1998-01-02","2019-08-07","38","2009-07-28","2018-10-24"
"ANCB","1895","2011-01-26","2018-08-06","0","NULL","NULL"
"ANCN","122","2019-02-12","2019-08-06","2","2019-05-22","2019-08-05"
"ANCX","3664","2004-07-19","2019-05-07","16","2014-01-21","2017-10-25"
"ANDA","566","2015-12-08","2018-05-31","0","NULL","NULL"
"ANDAR","544","2015-12-07","2018-05-31","0","NULL","NULL"
"ANDAU","453","2015-11-25","2018-05-31","0","NULL","NULL"
"ANDAW","533","2015-12-07","2018-05-31","0","NULL","NULL"
"ANDE","5434","1998-01-02","2019-08-07","41","2009-05-06","2019-08-06"
"ANDV","4666","2000-01-03","2018-07-19","0","NULL","NULL"
"ANDX","2087","2011-04-20","2019-08-07","23","2014-02-05","2019-08-01"
"ANET","1304","2014-06-06","2019-08-09","21","2014-08-07","2019-08-01"
